,Aylien_Label,Manual Sentiment,Pol_Confidence,Text
0,neutral,Negative,0.6461048722267151,@BLRrocKS @abhijitmajumder @mepratap U should cc to cm of KARANATAKA not others @dineshgrao right?
1,neutral,Negative,0.4658975899219513,@divyaspandana By the way @Swamy39 asked ppls does any one remember Sukhanya case. That's it.. y u all of a sudden telling RG name here.. interesting
2,negative,Negative,0.6532982587814331,@siddaramaiah Tumkur former protection also held and beaten by police.. where r we ? Really #EmergencyinKarnataka
3,negative,Negative,0.892480194568634,@divyaspandana Getting Freebies is in their blood.. congis telling Gareeb Atavo since 6 decade.. and still saying.. did everyone become rich? No right
4,negative,Negative,0.43501386046409607,@INCIndia @divyaspandana The same force I don't see on Mr Pappu and his jiju? First remove them from party and then ask BJP
5,neutral,Negative,0.6470575928688049,@divyaspandana Yes.. right as per congress.. look At her photo she is having short midi .. so women empowerment
6,negative,Negative,0.6585569977760315,@chetan_bhagat Sir.. these congis did not have that much competency .. only eat by freebies and sleep
7,neutral,Negative,0.9144472479820251,@sanaljayo @RajanRajan0007 @CMofKarnataka @siddaramaiah Real Nidde https://t.co/YYgmxl011U
8,neutral,Negative,0.8210579752922058,@SudheenKulkarni @TVMohandasPai @INCIndia @OfficeOfRG Change ur mindset first then ask BJP
9,positive,Negative,0.6873816847801208,@divyaspandana @Twitter Peddu .. freedom fighter.. good entertainer..
10,neutral,Negative,0.5997120141983032,@AnantkumarH @KiranKS Sir.. most of the congress camangis and bookalai Mullas started crying in KAR..
11,neutral,Negative,0.36678463220596313,@divyaspandana @rajeev_mp @smritiirani @Ra_THORe @malviyamit Ramya darling.. back firing to congress camangis.. so far CC was handling media.. now media went BJP with except 2..Enjoy karma
12,neutral,Negative,0.6398992538452148,@dineshgrao If congress camangis come to power.. Iam sure these camangis vil celebrate Other invaders..
13,neutral,Negative,0.858725905418396,@KavithaReddy16 @BSYBJP @publictvnews @sudditvnews @suvarnanewstv @dineshgrao @ArshadRizwan @INCKarnataka @KarPMCC Book release by BJP? Adunna thorsamma Thai.. amele culture bagge mathodana? CM was in Dala.. scolded ur top leader.. now he is CM? Double ?
14,neutral,Negative,0.41788074374198914,@Lokesh_Hulibele @me_ganesh14 @KavithaReddy16 @AmanpashS @BSYBJP @publictvnews @sudditvnews @suvarnanewstv @dineshgrao @ArshadRizwan @INCKarnataka @KarPMCC @CTRavi_BJP These things will happen more nd more from congress camangis.. will have more fun!
15,neutral,Negative,0.4965610206127167,@7lescomen @KavithaReddy16 @BSYBJP @publictvnews @sudditvnews @suvarnanewstv @dineshgrao @ArshadRizwan @INCKarnataka @KarPMCC @CTRavi_BJP This how these camangis fooled ppls by 60 yrs.. thanks to SM
16,negative,Negative,0.857022225856781,@kumarak2101 @brijeshkalappa @BLRrocKS One of the most senior lawyer is also become CC.. so sad and shame.. I guess congress needs more coach in SM.. Ramya?
